Original_Name	Status	Tax_ID	Scientific_Name	Synonyms
Streptomyces abikoensis	FOUND	97398	Streptomyces abikoensis	
Streptomyces ahygroscopicus	FOUND	387846	Streptomyces ahygroscopicus	
Streptomyces alanosinicus	FOUND	68171	Streptomyces alanosinicus	
Streptomyces albulus	FOUND	1971	Streptomyces noursei	
Streptomyces amakusaensis	FOUND	67271	Streptomyces amakusaensis	
Streptomyces blastmyceticus	FOUND	68180	Streptomyces blastmyceticus	
Streptomyces caelestis	FOUND	36816	Streptomyces caelestis	
Streptomyces chattanoogensis	FOUND	66876	Streptomyces chattanoogensis	
Streptomyces diastatochromogenes	FOUND	42236	Streptomyces diastatochromogenes	
Streptomyces galilaeus	FOUND	33899	Streptomyces galilaeus	
Streptomyces janthinus	FOUND	67308	Streptomyces janthinus	
Streptomyces lydicus	FOUND	47763	Streptomyces lydicus	
Streptomyces mycarofaciens	FOUND	1949	Streptomyces mycarofaciens	
Streptomyces noursei	FOUND	1971	Streptomyces noursei	
