Species,Contigs,Accession,Status,TaxID
Candidatus Streptomyces massiliensis,138,GCA_000820785.2,Scaffold,1211820
Candidatus Streptomyces philanthi,1,GCA_018114805.1,Complete Genome,371608
Streptomyces abikoensis,25,GCF_042892535.1,Scaffold,97398
Streptomyces abikoensis,40,GCF_044333535.1,Scaffold,97398
Streptomyces abikoensis,81,GCF_040650195.1,Scaffold,97398
Streptomyces abikoensis,163,GCF_042735985.1,Scaffold,97398
Streptomyces abikoensis,85,GCF_040631555.1,Scaffold,97398
Streptomyces abikoensis,32,GCF_043198555.1,Scaffold,97398
Streptomyces abikoensis,38,GCF_040631735.1,Scaffold,97398
Streptomyces abyssalis,45,GCF_001751345.1,Scaffold,933944
Streptomyces abyssalis,42,GCF_001751365.1,Scaffold,933944
Streptomyces abyssomicinicus,24,GCF_008974245.1,Scaffold,574929
Streptomyces achromogenes,198,GCF_040678275.1,Scaffold,67255
Streptomyces achromogenes,1,GCA_045160985.1,Complete Genome,67255
Streptomyces achromogenes,929,GCF_040637715.1,Scaffold,67255
Streptomyces achromogenes,30,GCF_042900535.1,Scaffold,67255
Streptomyces achromogenes,27,GCF_042900075.1,Scaffold,67255
Streptomyces achromogenes,1,GCF_045160875.1,Complete Genome,67255
Streptomyces achromogenes,46,GCF_043201435.1,Scaffold,67255
Streptomyces achromogenes,46,GCF_043081425.1,Scaffold,67255
Streptomyces achromogenes,68,GCF_044547265.1,Scaffold,67255
Streptomyces achromogenes,33,GCF_042871825.1,Scaffold,67255
Streptomyces achromogenes,78,GCF_040646515.1,Scaffold,67255
Streptomyces achromogenes,65,GCF_040702825.1,Scaffold,67255
Streptomyces achromogenes,39,GCF_043084185.1,Scaffold,67255
Streptomyces achromogenes,33,GCF_043084165.1,Scaffold,67255
Streptomyces achromogenes,53,GCF_043084125.1,Scaffold,67255
Streptomyces acidicola,86,GCF_044767865.1,Scaffold,2596892
Streptomyces acidicola,122,GCF_040682235.1,Scaffold,2596892
Streptomyces acidicola,79,GCF_044386185.1,Scaffold,2596892
