Region	Cluster_type	Cluster-Name	Start	End	Genes_total	Genes_expressed	Reads_total	Mean_reads_per_gene	Completeness	Status
contig_2	CDS	Putative_ABC_transporter_permease_protein	1456362	1457274	1	0	0	0.0	0.0%	empty
contig_2	CDS	ATP-binding_protein	5185157	5185571	1	1	53	53.0	100.0%	complete
contig_3	CDS	Metallo-beta-lactamase_domain-containing_protein	1506459	1507311	1	1	870	870.0	100.0%	complete
contig_2	CDS	Heme_exporter_protein_D	32261	33677	1	0	0	0.0	0.0%	empty
contig_2	CDS	Winged_helix-turn_helix_domain-containing_protein	144387	144882	1	0	0	0.0	0.0%	empty
contig_3	CDS	Transcriptional_regulator	1302426	1302660	1	1	359	359.0	100.0%	complete
contig_3	CDS	Conjugal_transfer_protein_TraG	1551733	1554136	1	1	366	366.0	100.0%	complete
contig_2	CDS	DUF4386_domain-containing_protein	881443	882154	1	1	56	56.0	100.0%	complete
contig_2	CDS	Sec-independent_protein_translocase_subunit_TatA	1799214	1799514	1	1	5106	5106.0	100.0%	complete
contig_2	CDS	HD_domain-containing_protein	3989767	3990532	1	1	1565	1565.0	100.0%	complete
contig_2	CDS	putative_membrane_transporter_protein	2744696	2745485	1	1	462	462.0	100.0%	complete
contig_3	CDS	Secreted_protein	1186189	1186369	1	1	63	63.0	100.0%	complete
contig_2	CDS	Lyase	2746161	2746572	1	1	1924	1924.0	100.0%	complete
contig_3	CDS	MFS_transporter	1646653	1648225	1	1	177	177.0	100.0%	complete
contig_2	CDS	MerR_family_transcriptional_regulator	19197	19629	1	1	293	293.0	100.0%	complete
contig_3	CDS	Phosphatidic_acid_phosphatase_type_2/haloperoxidase_domain-containing_protein	430719	431376	1	1	3057	3057.0	100.0%	complete
contig_3	CDS	AsnC_family_transcriptional_regulator	639215	639689	1	1	778	778.0	100.0%	complete
contig_2	CDS	SUKH-3_immunity_protein	3434941	3435502	1	1	187	187.0	100.0%	complete
contig_2	CDS	histidine_kinase	3567890	3569270	1	1	146	146.0	100.0%	complete
contig_3	CDS	Nucleotidyl_transferase_AbiEii_toxin,_Type_IV_TA_system	2379557	2379923	1	1	292	292.0	100.0%	complete
contig_3	CDS	ScbA/BarX_family_gamma-butyrolactone_biosynthesis_protein	2162562	2163483	1	1	64	64.0	100.0%	complete
contig_2	CDS	Tyrosine_recombinase_xerC	33732	34929	1	1	16	16.0	100.0%	complete
contig_2	CDS	tRNA_(adenosine(37)-N6)-threonylcarbamoyltransferase_complex_dimerization_subunit_type_1_TsaB	3673827	3674487	1	1	395	395.0	100.0%	complete
contig_3	CDS	Helicase	2023220	2026151	1	1	22	22.0	100.0%	complete
contig_2	CDS	MarR_family_transcriptional_regulator	119442	119793	1	1	9	9.0	100.0%	complete
contig_3	CDS	ABC_transporter_substrate-binding_protein	2018607	2019384	1	1	11	11.0	100.0%	complete
contig_2	CDS	NAD-dependent_dehydratase	652522	653548	1	1	5227	5227.0	100.0%	complete
contig_3	CDS	DUF5709_domain-containing_protein	2153080	2153563	1	1	200	200.0	100.0%	complete
contig_2	CDS	Ribonuclease	5276736	5278074	1	1	9972	9972.0	100.0%	complete
contig_2	CDS	Heparinase	643743	645699	1	1	5898	5898.0	100.0%	complete
contig_2	CDS	Cytoplasmic_protein	3273568	3274846	1	1	199	199.0	100.0%	complete
contig_2	CDS	30S_ribosomal_protein_S18	4580646	4580883	1	1	9731	9731.0	100.0%	complete
contig_3	CDS	DNA_primase	580964	581675	1	1	2317	2317.0	100.0%	complete
contig_2	CDS	putative_baseplate_assembly_protein	5055894	5059785	1	1	626	626.0	100.0%	complete
contig_2	CDS	Acetyltransferase_(GNAT)_family	2646646	2647264	1	1	18	18.0	100.0%	complete
contig_2	CDS	Transcriptional_regulator	93448	93946	1	1	167	167.0	100.0%	complete
contig_2	CDS	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alani_ne_ligase	2345592	2347035	1	1	6238	6238.0	100.0%	complete
contig_2	CDS	Acety-l/propionyl-CoA_carboxylase_subunit_alpha	4927380	4929345	1	1	97	97.0	100.0%	complete
contig_3	CDS	Serine-protein_kinase_RsbW	164891	165305	1	1	4849	4849.0	100.0%	complete
contig_2	CDS	Alpha/beta_hydrolase	919644	920436	1	1	31	31.0	100.0%	complete
contig_2	CDS	translation_elongation_factor_4	2841722	2843642	1	1	7370	7370.0	100.0%	complete
contig_2	CDS	Secreted_protein	4034321	4034828	1	1	12	12.0	100.0%	complete
contig_2	CDS	NADPH-dependent_F420_reductase	2544445	2545192	1	1	1578	1578.0	100.0%	complete
contig_2	CDS	ATP-dependent_Clp_protease_proteolytic_subunit	1227730	1228333	1	1	102	102.0	100.0%	complete
contig_2	CDS	Amidohydrolase	2117761	2118853	1	1	635	635.0	100.0%	complete
contig_2	CDS	succinate_dehydrogenase_flavoprotein_subunit	5136880	5138635	1	1	23743	23743.0	100.0%	complete
contig_3	CDS	TetR_family_transcriptional_regulator	2454179	2454920	1	1	97	97.0	100.0%	complete
contig_3	CDS	DUF742_domain-containing_protein	535030	535441	1	1	1164	1164.0	100.0%	complete
contig_2	CDS	HpcH/HpaI_aldolase	1510064	1511348	1	1	325	325.0	100.0%	complete
contig_3	CDS	Acetyltransferase	2204393	2205035	1	1	371	371.0	100.0%	complete
contig_3	CDS	Integral_membrane_protein	2544044	2544977	1	1	20	20.0	100.0%	complete
contig_3	CDS	Alpha/beta_hydrolase	2545238	2546087	1	1	490	490.0	100.0%	complete
contig_2	CDS	Sporulation_protein_SsgA	3166751	3167228	1	1	6126	6126.0	100.0%	complete
contig_3	CDS	Pyruvate,_phosphate_dikinase	1731191	1733684	1	1	279	279.0	100.0%	complete
contig_3	misc_feature	tta_leucine_codon,_possible_target_for_bldA_regulation	1396977	1396980	0	0	0	0.0	0.0%	empty
contig_2	CDS	HNH_nuclease_domain-containing_protein	2943735	2944272	1	1	4212	4212.0	100.0%	complete
contig_3	CDS	Transcriptional_regulator_WhiB	103971	104322	1	1	1303	1303.0	100.0%	complete
contig_3	cand_cluster	lanthipeptide-class-i	1377913	1403167	27	20	36428	1349.19	74.1%	partly
contig_3	misc_feature	tta_leucine_codon,_possible_target_for_bldA_regulation	1397391	1397394	0	0	0	0.0	0.0%	empty
contig_2	CDS	hypothetical_protein	187059	187308	1	1	24	24.0	100.0%	complete
contig_2	CDS	hypothetical_protein	4716888	4717212	1	0	0	0.0	0.0%	empty
