Region	Cluster_type	Cluster-Name	Start	End	Genes_total	Genes_expressed	Reads_total	Mean_reads_per_gene	Completeness	Status
contig_2	region	RiPP-like	1107517	1117733	7	6	674	96.29	85.7%	partly
contig_3	cand_cluster	PKS-like	947711	988740	28	28	96424	3443.71	100.0%	complete
contig_3	protocluster	NI-siderophore	782357	815041	24	22	148862	6202.58	91.7%	partly
contig_2	cand_cluster	terpene	671896	694775	21	19	37520	1786.67	90.5%	partly
contig_2	cand_cluster	T1PKS	749397	797301	34	28	36154	1063.35	82.4%	partly
contig_3	protocluster	NAPAA	2954115	2989372	33	28	47335	1434.39	84.8%	partly
contig_2	region	lanthipeptide-class-i	231076	256509	26	22	23469	902.65	84.6%	partly
contig_2	cand_cluster	T2PKS	1150384	1222900	70	60	85260	1218.0	85.7%	partly
contig_3	cand_cluster	transAT-PKS	242821	350888	46	46	2075570	45121.09	100.0%	complete
contig_2	cand_cluster	NRPS-like	159806	202908	41	35	16021	390.76	85.4%	partly
contig_3	region	RiPP-like	1024053	1034893	11	11	3412	310.18	100.0%	complete
contig_2	cand_cluster	T1PKS	942090	1051971	36	33	433311	12036.42	91.7%	partly
contig_3	protocluster	NRPS	914348	975474	39	39	219697	5633.26	100.0%	complete
contig_3	protocluster	T3PKS	873849	914902	26	26	48369	1860.35	100.0%	complete
contig_1	region	T1PKS	0	76890	17	17	206561	12150.65	100.0%	complete
contig_2	cand_cluster	lanthipeptide-class-i	231076	256509	26	22	23469	902.65	84.6%	partly
contig_3	cand_cluster	T3PKS	873849	914902	26	26	48369	1860.35	100.0%	complete
contig_3	region	NRPS	1693838	1737379	38	37	85649	2253.92	97.4%	partly
contig_2	cand_cluster	NRPS	677506	725162	35	32	41383	1182.37	91.4%	partly
contig_2	region	terpene	4413876	4436174	18	12	5106	283.67	66.7%	partly
contig_3	protocluster	butyrolactone	2706670	2717606	9	9	51913	5768.11	100.0%	complete
contig_2	region	NI-siderophore	2020529	2050332	23	23	834292	36273.57	100.0%	complete
contig_3	region	lanthipeptide-class-v	1610635	1691662	69	59	94896	1375.3	85.5%	partly
contig_2	region	ectoine	2116351	2126762	11	11	510164	46378.55	100.0%	complete
contig_3	cand_cluster	CDPS	2484341	2505049	20	20	64937	3246.85	100.0%	complete
contig_2	cand_cluster	RiPP-like	1107517	1117733	7	6	674	96.29	85.7%	partly
contig_2	protocluster	terpene	671896	694775	21	19	37520	1786.67	90.5%	partly
contig_2	protocluster	NRPS	677506	725162	35	32	41383	1182.37	91.4%	partly
contig_3	protocluster	oligosaccharide	1662985	1689194	21	18	1624	77.33	85.7%	partly
contig_3	protocluster	terpene	1847315	1873993	25	25	56753	2270.12	100.0%	complete
contig_3	protocluster	NRPS-like	2621623	2664623	37	35	560200	15140.54	94.6%	partly
contig_2	region	NRPS-like	159806	202908	41	35	16021	390.76	85.4%	partly
contig_2	protocluster	ectoine	2116351	2126762	11	11	510164	46378.55	100.0%	complete
contig_3	cand_cluster	NRPS	914348	975474	39	39	219697	5633.26	100.0%	complete
contig_3	protocluster	NRPS	1693838	1736523	37	36	85565	2312.57	97.3%	partly
contig_3	cand_cluster	hydrogen-cyanide	3016917	3046876	22	17	4943	224.68	77.3%	partly
contig_3	region	transAT-PKS	242821	350888	46	46	2075570	45121.09	100.0%	complete
contig_2	region	terpene-precursor	51009	72086	19	16	7878	414.63	84.2%	partly
contig_2	cand_cluster	ectoine	2116351	2126762	11	11	510164	46378.55	100.0%	complete
contig_2	protocluster	terpene-precursor	51009	72086	19	16	7878	414.63	84.2%	partly
contig_3	cand_cluster	butyrolactone	2157562	2168483	10	8	2123	212.3	80.0%	partly
contig_3	cand_cluster	lanthipeptide-class-v	1610635	1691662	69	59	94896	1375.3	85.5%	partly
contig_3	region	butyrolactone	2706670	2717606	9	9	51913	5768.11	100.0%	complete
contig_3	region	atropopeptide	2852432	2873648	19	18	117853	6202.79	94.7%	partly
contig_2	protocluster	NI-siderophore	2020529	2050332	23	23	834292	36273.57	100.0%	complete
contig_3	region	T3PKS	873849	988740	75	75	352433	4699.11	100.0%	complete
contig_3	cand_cluster	lanthipeptide-class-v	1610635	1652758	33	31	81548	2471.15	93.9%	partly
contig_3	cand_cluster	oligosaccharide	1662985	1689194	21	18	1624	77.33	85.7%	partly
contig_2	cand_cluster	NAPAA	5094169	5128384	30	26	147374	4912.47	86.7%	partly
contig_2	region	T1PKS	379039	470217	62	53	22681	365.82	85.5%	partly
contig_2	cand_cluster	terpene	4413876	4436174	18	12	5106	283.67	66.7%	partly
contig_2	protocluster	T2PKS	1150384	1222900	70	60	85260	1218.0	85.7%	partly
contig_3	cand_cluster	RRE-containing	3023621	3046876	15	12	4123	274.87	80.0%	partly
contig_2	protocluster	T1PKS	749397	795484	32	27	36113	1128.53	84.4%	partly
contig_3	cand_cluster	butyrolactone	2706670	2717606	9	9	51913	5768.11	100.0%	complete
contig_3	protocluster	pyrrolidine	2118065	2150285	25	23	391275	15651.0	92.0%	partly
contig_2	region	terpene	671896	728216	43	40	42381	985.6	93.0%	partly
contig_3	protocluster	NRPS	269591	346165	21	21	72875	3470.24	100.0%	complete
contig_3	cand_cluster	NI-siderophore	782357	815041	24	22	148862	6202.58	91.7%	partly
contig_3	cand_cluster	pyrrolidine	2118065	2168483	43	39	399604	9293.12	90.7%	partly
contig_2	region	T1PKS	749397	797301	34	28	36154	1063.35	82.4%	partly
contig_1	protocluster	T1PKS	0	76890	17	17	206561	12150.65	100.0%	complete
contig_1	cand_cluster	T1PKS	0	76890	17	17	206561	12150.65	100.0%	complete
contig_3	protocluster	CDPS	2484341	2505049	20	20	64937	3246.85	100.0%	complete
contig_3	region	terpene	1847315	1873993	25	25	56753	2270.12	100.0%	complete
contig_2	region	T2PKS	1150384	1222900	70	60	85260	1218.0	85.7%	partly
contig_3	region	CDPS	2484341	2505049	20	20	64937	3246.85	100.0%	complete
contig_2	protocluster	RiPP-like	1107517	1117733	7	6	674	96.29	85.7%	partly
contig_2	region	NAPAA	5094169	5128384	30	26	147374	4912.47	86.7%	partly
contig_2	protocluster	terpene	4413876	4436174	18	12	5106	283.67	66.7%	partly
contig_3	cand_cluster	butyrolactone	2423601	2434600	8	8	4515	564.38	100.0%	complete
contig_2	protocluster	T1PKS	942090	1051971	36	33	433311	12036.42	91.7%	partly
contig_3	cand_cluster	NRPS	1693838	1736523	37	36	85565	2312.57	97.3%	partly
contig_2	region	azole-containing-RiPP	4370008	4393356	26	26	56522	2173.92	100.0%	complete
contig_3	protocluster	deazapurine	1710000	1737379	19	19	71066	3740.32	100.0%	complete
contig_3	cand_cluster	terpene	2614748	2664623	46	44	563595	12252.07	95.7%	partly
contig_3	protocluster	NRPS-like	261873	305506	4	4	6046	1511.5	100.0%	complete
contig_3	protocluster	lanthipeptide-class-v	1610635	1652758	33	31	81548	2471.15	93.9%	partly
contig_3	protocluster	T2PKS	1619137	1691662	66	56	68359	1035.74	84.8%	partly
contig_3	protocluster	butyrolactone	2423601	2434600	8	8	4515	564.38	100.0%	complete
contig_2	cand_cluster	T1PKS	379039	426437	38	32	15275	401.97	84.2%	partly
contig_3	protocluster	butyrolactone	913685	924711	8	8	130734	16341.75	100.0%	complete
contig_2	protocluster	NAPAA	5094169	5128384	30	26	147374	4912.47	86.7%	partly
contig_3	protocluster	RRE-containing	3023621	3046876	15	12	4123	274.87	80.0%	partly
contig_3	cand_cluster	RiPP-like	1024053	1034893	11	11	3412	310.18	100.0%	complete
contig_3	cand_cluster	NAPAA	2954115	2989372	33	28	47335	1434.39	84.8%	partly
contig_3	cand_cluster	NRPS	1693838	1737379	38	37	85649	2253.92	97.4%	partly
contig_2	cand_cluster	NI-siderophore	2020529	2050332	23	23	834292	36273.57	100.0%	complete
contig_3	cand_cluster	NAPAA	2131888	2165848	27	26	353249	13083.3	96.3%	partly
contig_2	protocluster	NRPS-like	686380	728216	29	28	10374	357.72	96.6%	partly
contig_3	protocluster	hydrogen-cyanide	3016917	3030032	11	9	2859	259.91	81.8%	partly
contig_3	cand_cluster	T2PKS	1619137	1691662	66	56	68359	1035.74	84.8%	partly
contig_2	cand_cluster	T1PKS	379039	470217	62	53	22681	365.82	85.5%	partly
contig_2	region	T1PKS	942090	1051971	36	33	433311	12036.42	91.7%	partly
contig_3	protocluster	RiPP-like	1024053	1034893	11	11	3412	310.18	100.0%	complete
contig_3	region	pyrrolidine	2118065	2168483	43	39	399604	9293.12	90.7%	partly
contig_3	protocluster	lanthipeptide-class-iii	2636705	2659324	18	16	141623	7867.94	88.9%	partly
contig_2	cand_cluster	azole-containing-RiPP	4370008	4393356	26	26	56522	2173.92	100.0%	complete
contig_3	protocluster	atropopeptide	2852432	2873648	19	18	117853	6202.79	94.7%	partly
contig_3	region	NAPAA	2954115	2989372	33	28	47335	1434.39	84.8%	partly
contig_2	cand_cluster	terpene	671896	728216	43	40	42381	985.6	93.0%	partly
contig_2	protocluster	NRPS-like	159806	202908	41	35	16021	390.76	85.4%	partly
contig_3	region	lanthipeptide-class-i	1377913	1403167	27	20	36638	1356.96	74.1%	partly
contig_2	protocluster	azole-containing-RiPP	4370008	4393356	26	26	56522	2173.92	100.0%	complete
contig_3	region	NI-siderophore	782357	815041	24	22	148862	6202.58	91.7%	partly
contig_2	protocluster	T1PKS	379039	426437	38	32	15275	401.97	84.2%	partly
contig_3	cand_cluster	terpene	2614748	2637945	23	23	421369	18320.39	100.0%	complete
contig_3	protocluster	PKS-like	947711	988740	28	28	96424	3443.71	100.0%	complete
contig_3	region	butyrolactone	2423601	2434600	8	8	4515	564.38	100.0%	complete
contig_3	cand_cluster	NRPS-like	2621623	2664623	37	35	560200	15140.54	94.6%	partly
contig_3	region	terpene	2614748	2664623	46	44	563595	12252.07	95.7%	partly
contig_2	protocluster	NRPS	411945	470217	37	31	8633	233.32	83.8%	partly
contig_2	cand_cluster	NRPS	411945	470217	37	31	8633	233.32	83.8%	partly
contig_3	protocluster	lanthipeptide-class-i	1377913	1403167	27	20	36638	1356.96	74.1%	partly
contig_3	cand_cluster	lanthipeptide-class-iii	2636705	2659324	18	16	141623	7867.94	88.9%	partly
contig_3	cand_cluster	terpene	1847315	1873993	25	25	56753	2270.12	100.0%	complete
contig_3	cand_cluster	T3PKS	873849	988740	75	75	352433	4699.11	100.0%	complete
contig_3	protocluster	transAT-PKS	242821	350888	46	46	2075570	45121.09	100.0%	complete
contig_3	cand_cluster	atropopeptide	2852432	2873648	19	18	117853	6202.79	94.7%	partly
contig_3	cand_cluster	deazapurine	1710000	1737379	19	19	71066	3740.32	100.0%	complete
contig_3	protocluster	NAPAA	2131888	2165848	27	26	353249	13083.3	96.3%	partly
contig_2	protocluster	lanthipeptide-class-i	231076	256509	26	22	23469	902.65	84.6%	partly
contig_3	cand_cluster	lanthipeptide-class-i	1377913	1403167	27	20	36638	1356.96	74.1%	partly
contig_3	cand_cluster	pyrrolidine	2118065	2150285	25	23	391275	15651.0	92.0%	partly
contig_2	protocluster	NRPS-like	755480	797301	31	26	36104	1164.65	83.9%	partly
contig_3	cand_cluster	butyrolactone	913685	924711	8	8	130734	16341.75	100.0%	complete
contig_3	protocluster	butyrolactone	2157562	2168483	10	8	2123	212.3	80.0%	partly
contig_3	protocluster	terpene	2614748	2637945	23	23	421369	18320.39	100.0%	complete
contig_2	cand_cluster	NRPS-like	686380	728216	29	28	10374	357.72	96.6%	partly
contig_3	region	hydrogen-cyanide	3016917	3046876	22	17	4943	224.68	77.3%	partly
contig_3	cand_cluster	hydrogen-cyanide	3016917	3030032	11	9	2859	259.91	81.8%	partly
contig_2	cand_cluster	terpene-precursor	51009	72086	19	16	7878	414.63	84.2%	partly
