# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "../final_assembly.gff3" "-o" "read_counts.tsv" "-t" "CDS" "-g" "ID" "-M" "--fraction" "-s" "0" "-T" "8" "mapped.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped.sorted.bam
OMCOBO_00001	contig_1	397	633	+	237	118
OMCOBO_00002	contig_1	1239	2630	+	1392	1556
OMCOBO_00003	contig_1	2649	3707	+	1059	2361
OMCOBO_00004	contig_1	3704	4900	+	1197	2685
OMCOBO_00005	contig_1	4950	5141	+	192	194
OMCOBO_00006	contig_1	5226	6410	-	1185	3431
OMCOBO_00007	contig_1	6560	12730	-	6171	16914
OMCOBO_00009	contig_1	12786	39641	-	26856	44067
OMCOBO_00014	contig_1	39661	49257	-	9597	10915
OMCOBO_00017	contig_1	49303	53424	-	4122	1877
OMCOBO_00019	contig_1	53781	55172	+	1392	1453
OMCOBO_00020	contig_1	55191	56249	+	1059	2338
OMCOBO_00021	contig_1	56246	57442	+	1197	2757
OMCOBO_00022	contig_1	57492	57683	+	192	207
OMCOBO_00023	contig_1	57768	58952	-	1185	3452
OMCOBO_00024	contig_1	59102	65272	-	6171	16793
OMCOBO_00026	contig_1	65328	76886	-	11559	6941
OMCOBO_00028	contig_2	192	1307	-	1116	11510
OMCOBO_00029	contig_2	1492	3852	-	2361	25
OMCOBO_00030	contig_2	4241	4540	+	300	38
OMCOBO_00031	contig_2	4557	5384	+	828	197
OMCOBO_00032	contig_2	5472	7394	+	1923	543
OMCOBO_00033	contig_2	7391	8188	+	798	225
OMCOBO_00034	contig_2	8320	9339	+	1020	168
OMCOBO_00035	contig_2	9781	12096	+	2316	192
OMCOBO_00036	contig_2	12148	13032	-	885	42
OMCOBO_00037	contig_2	13121	14314	-	1194	33
OMCOBO_00038	contig_2	14311	15669	-	1359	12
OMCOBO_00039	contig_2	15820	16860	+	1041	14
OMCOBO_00040	contig_2	16909	18132	-	1224	235
OMCOBO_00041	contig_2	18320	19201	-	882	508
OMCOBO_00042	contig_2	19198	19629	-	432	275
OMCOBO_00043	contig_2	19739	20296	-	558	356
OMCOBO_00044	contig_2	20804	22030	-	1227	66
OMCOBO_00045	contig_2	22249	22641	-	393	15
OMCOBO_00046	contig_2	22699	23475	+	777	671
OMCOBO_00047	contig_2	23791	24507	+	717	811
OMCOBO_00048	contig_2	24594	25691	+	1098	13864
OMCOBO_00049	contig_2	25688	26869	+	1182	9310
OMCOBO_00050	contig_2	26866	27783	+	918	43265
OMCOBO_00051	contig_2	27780	29099	+	1320	47803
OMCOBO_00052	contig_2	29096	30034	+	939	35526
OMCOBO_00053	contig_2	30163	31281	+	1119	3193
OMCOBO_00054	contig_2	31329	31703	+	375	1473
OMCOBO_00055	contig_2	31790	32071	+	282	334
OMCOBO_00056	contig_2	32122	32262	-	141	7
OMCOBO_00057	contig_2	32262	33677	-	1416	66
OMCOBO_00058	contig_2	33733	34929	+	1197	208
OMCOBO_00059	contig_2	34922	37378	+	2457	311
OMCOBO_00060	contig_2	37414	38232	-	819	286
OMCOBO_00061	contig_2	38456	39679	+	1224	118
OMCOBO_00062	contig_2	39670	40317	+	648	28
OMCOBO_00063	contig_2	40515	40844	-	330	0
OMCOBO_00064	contig_2	41038	41523	-	486	24
OMCOBO_00065	contig_2	41757	42494	+	738	486
OMCOBO_00066	contig_2	42537	43082	+	546	35
OMCOBO_00067	contig_2	43096	43668	+	573	16
OMCOBO_00068	contig_2	43709	44044	-	336	15
OMCOBO_00069	contig_2	44224	46176	-	1953	16
OMCOBO_00070	contig_2	46403	46978	+	576	52
OMCOBO_00071	contig_2	47238	47720	+	483	10
OMCOBO_00072	contig_2	47742	48365	-	624	33
OMCOBO_00073	contig_2	48499	49410	+	912	386
OMCOBO_00074	contig_2	49534	50328	-	795	73
OMCOBO_00075	contig_2	50427	51308	-	882	115
OMCOBO_00076	contig_2	51366	52592	-	1227	63
OMCOBO_00077	contig_2	52762	53229	+	468	49
OMCOBO_00078	contig_2	53545	54672	-	1128	130
OMCOBO_00079	contig_2	55556	56218	+	663	4
OMCOBO_00080	contig_2	56642	59239	+	2598	2405
OMCOBO_00082	contig_2	59695	60858	+	1164	522
OMCOBO_00083	contig_2	61010	62086	-	1077	396
OMCOBO_00084	contig_2	62300	62518	+	219	512
OMCOBO_00085	contig_2	62836	64083	+	1248	1107
OMCOBO_00086	contig_2	64080	64769	+	690	1067
OMCOBO_00087	contig_2	64921	65631	-	711	62
OMCOBO_00088	contig_2	65934	66158	+	225	0
OMCOBO_00089	contig_2	66155	67351	+	1197	3
OMCOBO_00090	contig_2	67478	68164	-	687	52
OMCOBO_00091	contig_2	68339	69028	+	690	85
OMCOBO_00092	contig_2	69152	69691	-	540	301
OMCOBO_00093	contig_2	69773	70456	-	684	410
