Region_,Cluster_type_,Cluster-Name_,Start_,End_,Genes_total_,Completeness_crude glycerol pH4,Completeness_crude glycerol pH7,Completeness_pure glycerol pH7,Genes_expressed_crude glycerol pH4,Genes_expressed_crude glycerol pH7,Genes_expressed_pure glycerol pH7,Reads_total_crude glycerol pH4,Reads_total_crude glycerol pH7,Reads_total_pure glycerol pH7
contig_1,CDS,ACP_S-malonyltransferase,39660,49257,1,100.0%,100.0%,100.0%,1,1,1,18691,10915,24382
contig_1,CDS,ACP_S-malonyltransferase,65327,76886,1,100.0%,100.0%,100.0%,1,1,1,21065,6941,9178
contig_1,CDS,Aminotransferase,2648,3707,1,100.0%,100.0%,100.0%,1,1,1,2964,2361,8397
contig_1,CDS,Aminotransferase,55190,56249,1,100.0%,100.0%,100.0%,1,1,1,2847,2338,8638
contig_1,CDS,Beta-ketoacyl_synthase,12785,39641,1,100.0%,100.0%,100.0%,1,1,1,122915,44067,83228
contig_1,CDS,Ferredoxin,4949,5141,1,100.0%,100.0%,100.0%,1,1,1,116,194,364
contig_1,CDS,Ferredoxin,57491,57683,1,100.0%,100.0%,100.0%,1,1,1,160,207,373
contig_1,CDS,NysDI,1238,2630,1,100.0%,100.0%,100.0%,1,1,1,2934,1556,7174
contig_1,CDS,NysDI,53780,55172,1,100.0%,100.0%,100.0%,1,1,1,2767,1453,7202
contig_1,CDS,NysK,6559,12730,1,100.0%,100.0%,100.0%,1,1,1,9060,16914,11482
contig_1,CDS,NysK,59101,65272,1,100.0%,100.0%,100.0%,1,1,1,9035,16793,11503
contig_1,CDS,NysL,5225,6410,1,100.0%,100.0%,100.0%,1,1,1,3998,3431,3677
contig_1,CDS,NysL,57767,58952,1,100.0%,100.0%,100.0%,1,1,1,3982,3452,3680
contig_1,CDS,NysN,3703,4900,1,100.0%,100.0%,100.0%,1,1,1,4272,2685,10863
contig_1,CDS,NysN,56245,57442,1,100.0%,100.0%,100.0%,1,1,1,4381,2757,10622
contig_1,CDS,Phenolphthiocerol_synthesis_polyketide_synthase_type_I_Pks15/1,49302,53424,1,100.0%,100.0%,100.0%,1,1,1,4993,1877,5584
contig_1,CDS,hypothetical_protein,396,633,1,100.0%,100.0%,100.0%,1,1,1,210,118,418
contig_1,cand_cluster,T1PKS,0,76890,17,100.0%,100.0%,100.0%,17,17,17,214390,118059,206765
contig_1,protocluster,T1PKS,0,76890,17,100.0%,100.0%,100.0%,17,17,17,214390,118059,206765
contig_1,region,T1PKS,0,76890,17,100.0%,100.0%,100.0%,17,17,17,214390,118059,206765
contig_2,CDS,"(2E,6E)-farnesyl_diphosphate_synthase",681896,682832,1,100.0%,100.0%,0.0%,1,1,0,1228,14,0
contig_2,CDS,(2Fe-2S)-binding_protein,1093256,1093844,1,100.0%,100.0%,100.0%,1,1,1,56,25,71
contig_2,CDS,(2Fe-2S)_ferredoxin,680797,681871,1,100.0%,100.0%,0.0%,1,1,0,867,43,0
contig_2,CDS,(2Fe-2S)_ferredoxin,934195,935353,1,100.0%,100.0%,100.0%,1,1,1,31,22,67
contig_2,CDS,(2Fe-2S)_ferredoxin_domain-containing_protein,1863991,1864399,1,100.0%,100.0%,100.0%,1,1,1,163,71,122
contig_2,CDS,(R)-benzylsuccinyl-CoA_dehydrogenase,1873811,1875026,1,100.0%,100.0%,100.0%,1,1,1,5797,7072,17712
contig_2,CDS,(S)-ureidoglycine_aminohydrolase_cupin_domain-containing_protein,2223452,2223878,1,100.0%,100.0%,100.0%,1,1,1,340,214,268
contig_2,CDS,(d)CMP_kinase,1993573,1994305,1,100.0%,100.0%,100.0%,1,1,1,4837,2884,2798
contig_2,CDS,"1,2-phenylacetyl-CoA_epoxidase_subunit_PaaA",4124868,4125852,1,100.0%,100.0%,100.0%,1,1,1,3677,49,94
contig_2,CDS,"1,2-phenylacetyl-CoA_epoxidase_subunit_PaaB",4125848,4126220,1,100.0%,100.0%,100.0%,1,1,1,444,10,19
contig_2,CDS,"1,2-phenylacetyl-CoA_epoxidase_subunit_PaaC",4126216,4126927,1,100.0%,100.0%,100.0%,1,1,1,1052,14,66
contig_2,CDS,"1,2-phenylacetyl-CoA_epoxidase_subunit_PaaD",4126920,4127418,1,100.0%,100.0%,100.0%,1,1,1,736,18,25
contig_2,CDS,"1,4-alpha-glucan_branching_enzyme",2488456,2491135,1,100.0%,100.0%,0.0%,1,1,0,132,70,0
contig_2,CDS,"1,4-dihydroxy-6-naphtoate_synthase",4884519,4885371,1,100.0%,100.0%,100.0%,1,1,1,1973,1052,826
contig_2,CDS,1-acyl-sn-glycerol-3-phosphate_acyltransferase,1715508,1716180,1,100.0%,100.0%,100.0%,1,1,1,1396,1088,589
contig_2,CDS,1-acyl-sn-glycerol-3-phosphate_acyltransferase,2388529,2389252,1,100.0%,100.0%,100.0%,1,1,1,3294,956,1770
contig_2,CDS,1-acyl-sn-glycerol-3-phosphate_acyltransferase,2478442,2479339,1,100.0%,100.0%,100.0%,1,1,1,24,67,54
contig_2,CDS,1-phosphofructokinase,3545602,3546619,1,100.0%,100.0%,100.0%,1,1,1,186,31,41
contig_2,CDS,1-phosphofructokinase,4836124,4837054,1,100.0%,100.0%,100.0%,1,1,1,656,415,656
contig_2,CDS,10_kDa_chaperonin,3139467,3139818,1,100.0%,100.0%,100.0%,1,1,1,826,923,586
contig_2,CDS,16S_rRNA_(adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase_RsmA,3467751,3468651,1,100.0%,100.0%,100.0%,1,1,1,1442,512,532
contig_2,CDS,16S_rRNA_(cytidine(1402)-2'-O)-methyltransferase,3471612,3472491,1,100.0%,100.0%,100.0%,1,1,1,506,379,207
contig_2,CDS,16S_rRNA_(cytosine(1402)-N(4))-methyltransferase_RsmH,2351614,2352574,1,100.0%,100.0%,100.0%,1,1,1,1456,500,634
contig_2,CDS,16S_rRNA_(guanine(527)-N(7))-methyltransferase_RsmG,4177693,4178419,1,100.0%,100.0%,100.0%,1,1,1,475,408,464
contig_2,CDS,16S_rRNA_(uracil(1498)-N(3))-methyltransferase,2829318,2830062,1,100.0%,100.0%,100.0%,1,1,1,274,329,327
contig_2,CDS,2'-5'_RNA_ligase,2872586,2873087,1,100.0%,100.0%,100.0%,1,1,1,1143,573,219
contig_2,CDS,2'_C3'-cyclic-nucleotide_2'-phosphodiesterase,2253377,2255204,1,100.0%,100.0%,100.0%,1,1,1,1095,558,134
contig_2,CDS,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase",2143398,2144388,1,100.0%,100.0%,100.0%,1,1,1,2973,8354,6713
contig_2,CDS,"2,5-dihydroxypyridine_5,6-dioxygenase",1086008,1087058,1,100.0%,100.0%,100.0%,1,1,1,567,113,567
contig_2,CDS,"2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase",4804451,4804979,1,100.0%,100.0%,100.0%,1,1,1,412,786,283
contig_2,CDS,2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase,4803718,4804465,1,100.0%,100.0%,100.0%,1,1,1,495,746,397
contig_2,CDS,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_diphosphokinase,4608487,4609132,1,100.0%,100.0%,100.0%,1,1,1,5584,8339,35114
contig_2,CDS,2-aminoethylphosphonate_ABC_transport_system_C_ATP-binding_component_PhnT,3177204,3178512,1,100.0%,100.0%,100.0%,1,1,1,812,115,194
contig_2,CDS,2-aminoethylphosphonate_ABC_transporter_permease_subunit,3116292,3117354,1,100.0%,0.0%,0.0%,1,0,0,1,0,0
contig_2,CDS,2-aminoethylphosphonate_ABC_transporter_substrate-binding_protein,3114387,3115452,1,100.0%,100.0%,100.0%,1,1,1,22,8,65
contig_2,CDS,2-dehydro-3-deoxy-phosphogluconate_aldolase,2575817,2576483,1,100.0%,100.0%,100.0%,1,1,1,151,100,35
contig_2,CDS,2-deoxy-scyllo-inosamine_dehydrogenase,2182356,2183373,1,100.0%,100.0%,100.0%,1,1,1,223,145,1126
contig_2,CDS,2-hydroxy-3-oxopropionate_reductase,4975833,4976721,1,100.0%,100.0%,100.0%,1,1,1,158,168,335
contig_2,CDS,2-hydroxyacid_dehydrogenase,3665358,3666369,1,100.0%,100.0%,100.0%,1,1,1,154,338,117
contig_2,CDS,2-hydroxycyclohexanecarboxyl-CoA_dehydrogenase,2083726,2084617,1,100.0%,100.0%,100.0%,1,1,1,59,4,96
contig_2,CDS,2-hydroxyhepta-2_C4-diene-1_C7-dioate_isomerase,3124455,3125313,1,100.0%,100.0%,100.0%,1,1,1,331,452,88
contig_2,CDS,2-isopropylmalate_synthase,62835,64083,1,100.0%,100.0%,100.0%,1,1,1,2218,1107,967
contig_2,CDS,2-isopropylmalate_synthase,2808404,2810162,1,100.0%,100.0%,100.0%,1,1,1,16600,20144,42917
contig_2,CDS,2-methylisocitrate_lyase,834153,834273,1,100.0%,0.0%,0.0%,1,0,0,8,0,0
contig_2,CDS,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline_decarboxylase,5139713,5140448,1,100.0%,100.0%,100.0%,1,1,1,1637,354,165
contig_2,CDS,2-oxoadipate_dioxygenase/decarboxylase,1449387,1450824,1,100.0%,100.0%,100.0%,1,1,1,317,63,95
contig_2,CDS,2-oxoglutarate_dehydrogenase,2618438,2619458,1,100.0%,100.0%,100.0%,1,1,1,23,36,31
contig_2,CDS,"2-oxoglutarate_dehydrogenase,_E2_component,_dihydrolipoamide_succinyltransferase",2449572,2451303,1,100.0%,100.0%,100.0%,1,1,1,54756,74744,110074
contig_2,CDS,2-oxoglutarate_oxidoreductase_subunit_KorA,3752774,3754727,1,100.0%,100.0%,100.0%,1,1,1,76712,127159,95904
contig_2,CDS,2-phospho-L-lactate_transferase,3315432,3316422,1,100.0%,100.0%,100.0%,1,1,1,889,1362,1773
contig_2,CDS,23S_rRNA_(guanosine(2251)-2'-O)-methyltransferase_RlmB,4807226,4808183,1,100.0%,100.0%,100.0%,1,1,1,1592,1517,1648
contig_2,CDS,2Fe-2S_ferredoxin-type_domain-containing_protein,3191154,3193146,1,100.0%,100.0%,100.0%,1,1,1,3486,1266,2062
contig_2,CDS,"3',5'-cyclic_adenosine_monophosphate_phosphodiesterase_CpdA",1234702,1235551,1,0.0%,100.0%,100.0%,0,1,1,0,9,21
contig_2,CDS,3'-5'_exonuclease,1689626,1690352,1,100.0%,100.0%,100.0%,1,1,1,3078,784,939
contig_2,CDS,3'-phosphate/5'-hydroxy_nucleic_acid_ligase,3832843,3834037,1,100.0%,100.0%,100.0%,1,1,1,1688,227,271
contig_2,CDS,3-(3-hydroxyphenyl)propionate_hydroxylase,853478,854864,1,100.0%,100.0%,100.0%,1,1,1,172,154,118
contig_2,CDS,3-(3-hydroxyphenyl)propionate_hydroxylase,1241020,1242457,1,100.0%,100.0%,100.0%,1,1,1,343,114,139
contig_2,CDS,3-dehydroquinate_synthase,1641903,1642995,1,100.0%,100.0%,100.0%,1,1,1,5428,5347,5978
contig_2,CDS,3-hydroxyacyl-CoA_dehydrogenase,4118471,4119998,1,100.0%,100.0%,100.0%,1,1,1,1257,131,300
contig_2,CDS,3-hydroxybutyrate_dehydrogenase,1470568,1471381,1,100.0%,100.0%,100.0%,1,1,1,186,45,110
contig_2,CDS,3-hydroxybutyryl-CoA_dehydrogenase,543056,543926,1,100.0%,100.0%,100.0%,1,1,1,12,20,127
contig_2,CDS,3-hydroxybutyryl-CoA_dehydrogenase,1747978,1748848,1,100.0%,100.0%,100.0%,1,1,1,12323,4148,3451
contig_2,CDS,3-hydroxyisobutyrate_dehydrogenase,332188,333136,1,100.0%,100.0%,100.0%,1,1,1,1868,1229,1294
contig_2,CDS,3-hydroxyisobutyrate_dehydrogenase,2686533,2687424,1,100.0%,100.0%,100.0%,1,1,1,173,154,329
contig_2,CDS,3-keto-5-aminohexanoate_cleavage_protein,1899314,1900052,1,100.0%,100.0%,100.0%,1,1,1,901,388,253
contig_2,CDS,3-ketoacyl-ACP_reductase,419076,419904,1,100.0%,100.0%,100.0%,1,1,1,10,15,54
contig_2,CDS,3-ketosteroid-9-alpha-hydroxylase_oxygenase_subunit,679739,680801,1,100.0%,100.0%,100.0%,1,1,1,525,24,46
contig_2,CDS,3-methyl-2-oxobutanoate_dehydrogenase_(2-methylpropanoyl-transferring),4098151,4099135,1,100.0%,100.0%,100.0%,1,1,1,10391,12987,21228
contig_2,CDS,3-methyl-2-oxobutanoate_dehydrogenase_(2-methylpropanoyl-transferring),4114784,4115819,1,100.0%,100.0%,100.0%,1,1,1,2379,17,102
contig_2,CDS,3-methyl-2-oxobutanoate_hydroxymethyltransferase,2536756,2537659,1,100.0%,100.0%,100.0%,1,1,1,3190,1639,373
contig_2,CDS,3-oxoacyl-ACP_reductase,558557,559028,1,100.0%,100.0%,100.0%,1,1,1,251,51,153
contig_2,CDS,3-oxoacyl-ACP_reductase,1204551,1205313,1,100.0%,100.0%,100.0%,1,1,1,7240,2718,6713
contig_2,CDS,3-oxoacyl-ACP_reductase,1771969,1772770,1,100.0%,100.0%,100.0%,1,1,1,909,1670,1922
contig_2,CDS,3-oxoacyl-ACP_reductase,1835231,1836017,1,100.0%,100.0%,100.0%,1,1,1,75,93,363
contig_2,CDS,3-oxoacyl-ACP_reductase,2275108,2275831,1,100.0%,100.0%,100.0%,1,1,1,537,721,1335
contig_2,CDS,3-oxoacyl-ACP_reductase,2582607,2583549,1,100.0%,100.0%,100.0%,1,1,1,337,213,257
contig_2,CDS,3-oxoacyl-ACP_reductase,2753751,2754549,1,100.0%,100.0%,100.0%,1,1,1,199,179,300
contig_2,CDS,3-oxoacyl-ACP_reductase,4695329,4696076,1,100.0%,100.0%,100.0%,1,1,1,459,1643,1130
contig_2,CDS,3-oxoacyl-ACP_synthase,87768,89013,1,100.0%,100.0%,100.0%,1,1,1,26,26,18
contig_2,CDS,3-oxoacyl-[acyl-carrier-protein]_reductase,2065742,2066447,1,100.0%,100.0%,100.0%,1,1,1,9973,9289,6215
contig_2,CDS,3-oxoacyl-[acyl-carrier-protein]_reductase,2116015,2116762,1,100.0%,100.0%,100.0%,1,1,1,121,99,51
contig_2,CDS,3-oxoacyl-[acyl-carrier-protein]_reductase_FabG,49533,50328,1,100.0%,100.0%,100.0%,1,1,1,80,73,43
contig_2,CDS,3-oxoacyl-[acyl-carrier-protein]_synthase_2,2685157,2686444,1,100.0%,100.0%,100.0%,1,1,1,11563,15091,12851
contig_2,CDS,3-oxoacyl-[acyl-carrier-protein]_synthase_3_protein_3,84450,85563,1,100.0%,100.0%,0.0%,1,1,0,20,6,0
contig_2,CDS,30S_ribosomal_protein_S1,2227105,2228617,1,100.0%,100.0%,100.0%,1,1,1,296973,297137,290327
contig_2,CDS,30S_ribosomal_protein_S10,3705612,3705972,1,100.0%,100.0%,100.0%,1,1,1,26191,35450,36872
contig_2,CDS,30S_ribosomal_protein_S11,3691421,3691826,1,100.0%,100.0%,100.0%,1,1,1,51473,66434,69986
contig_2,CDS,30S_ribosomal_protein_S12,3710321,3710693,1,100.0%,100.0%,100.0%,1,1,1,43509,63962,62934
contig_2,CDS,30S_ribosomal_protein_S13,3691890,3692271,1,100.0%,100.0%,100.0%,1,1,1,56866,78130,64814
contig_2,CDS,30S_ribosomal_protein_S14,4578384,4578690,1,100.0%,100.0%,100.0%,1,1,1,187,34,15790
contig_2,CDS,30S_ribosomal_protein_S17,3700655,3700937,1,100.0%,100.0%,100.0%,1,1,1,32002,101580,84980
contig_2,CDS,30S_ribosomal_protein_S18,4206096,4206333,1,100.0%,100.0%,100.0%,1,1,1,6746,22588,17975
contig_2,CDS,30S_ribosomal_protein_S18,4580646,4580883,1,100.0%,100.0%,100.0%,1,1,1,246,38,9731
contig_2,CDS,30S_ribosomal_protein_S19,3702801,3703083,1,100.0%,100.0%,100.0%,1,1,1,16080,43388,45031
contig_2,CDS,30S_ribosomal_protein_S20,2844008,2844275,1,100.0%,100.0%,100.0%,1,1,1,18239,16625,29921
contig_2,CDS,30S_ribosomal_protein_S3,3701585,3702410,1,100.0%,100.0%,100.0%,1,1,1,67097,144926,119957
contig_2,CDS,30S_ribosomal_protein_S4,1654010,1654622,1,100.0%,100.0%,100.0%,1,1,1,10302,51868,105547
contig_2,CDS,30S_ribosomal_protein_S4,3690767,3691394,1,100.0%,100.0%,100.0%,1,1,1,90614,51838,63806
contig_2,CDS,30S_ribosomal_protein_S5,3696832,3697435,1,100.0%,100.0%,100.0%,1,1,1,55562,133877,116888
contig_2,CDS,30S_ribosomal_protein_S6,4204982,4205273,1,100.0%,100.0%,100.0%,1,1,1,22730,87590,84011
contig_2,CDS,30S_ribosomal_protein_S7,3709848,3710319,1,100.0%,100.0%,100.0%,1,1,1,31508,62814,70596
contig_2,CDS,30S_ribosomal_protein_S8,3698429,3698828,1,100.0%,100.0%,100.0%,1,1,1,90067,180098,180451
contig_2,CDS,30S_ribosomal_protein_S9,3685689,3686202,1,100.0%,100.0%,100.0%,1,1,1,19874,31961,45405
contig_2,CDS,30S_ribosomal_protein_bS22,3857397,3857496,1,100.0%,100.0%,100.0%,1,1,1,598,398,519
contig_2,CDS,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione_acylhydrolase_(decyclizing)",2995833,2997825,1,100.0%,100.0%,100.0%,1,1,1,4399,1944,1515
contig_2,CDS,4'-demethylrebeccamycin_synthase,958026,959415,1,100.0%,100.0%,100.0%,1,1,1,1033,2438,10421
contig_2,CDS,4'-phosphopantetheinyl_transferase_superfamily_protein,4680353,4681022,1,100.0%,100.0%,100.0%,1,1,1,618,650,367
contig_2,CDS,4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol_kinase,3466813,3467755,1,100.0%,100.0%,100.0%,1,1,1,201,242,152
contig_2,CDS,4-alpha-glucanotransferase,2937666,2939859,1,100.0%,100.0%,100.0%,1,1,1,2649,253,259
contig_2,CDS,4-carboxymuconolactone_decarboxylase,345827,346151,1,100.0%,100.0%,0.0%,1,1,0,55,12,0
contig_2,CDS,4-coumarate:CoA_ligase,4930731,4932348,1,100.0%,100.0%,100.0%,1,1,1,106,159,54
contig_2,CDS,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase,5312885,5313887,1,100.0%,100.0%,100.0%,1,1,1,8735,5871,7069
contig_2,CDS,4-hydroxy-tetrahydrodipicolinate_synthase,1255798,1256695,1,100.0%,100.0%,100.0%,1,1,1,174,79,107
contig_2,CDS,4-hydroxybenzoate_3-monooxygenase,1468789,1470010,1,100.0%,100.0%,100.0%,1,1,1,304,39,19
contig_2,CDS,4-hydroxybenzoyl-CoA_thioesterase,294540,294999,1,100.0%,100.0%,100.0%,1,1,1,62,7,35
contig_2,CDS,4-hydroxyphenylpyruvate_dioxygenase,24593,25691,1,100.0%,100.0%,100.0%,1,1,1,8042,13864,9461
contig_2,CDS,4-hydroxyphenylpyruvate_dioxygenase,3174763,3175921,1,100.0%,100.0%,100.0%,1,1,1,2424,574,132
contig_2,CDS,4-oxalocrotonate_tautomerase-like_domain-containing_protein,583300,583510,1,100.0%,100.0%,100.0%,1,1,1,25,14,397
contig_2,CDS,4Fe-4S_ferredoxin-type_domain-containing_protein,562738,563413,1,100.0%,100.0%,100.0%,1,1,1,526,82,199
contig_2,CDS,5'-3'_exonuclease,1789355,1790357,1,100.0%,100.0%,100.0%,1,1,1,4501,10491,15170
contig_2,CDS,5'-nucleotidase,4770599,4772411,1,100.0%,100.0%,100.0%,1,1,1,1406,3149,582
contig_2,CDS,5-(carboxyamino)imidazole_ribonucleotide_synthase,3350319,3351504,1,100.0%,100.0%,100.0%,1,1,1,10225,5955,10922
