Region	Cluster_type	Cluster-Name	Start	End	Genes_total	Genes_expressed	Reads_total	Mean_reads_per_gene	Completeness	Status
contig_2	region	NRPS-like	159806	202908	41	35	6014	146.68	85.4%	partly
contig_3	protocluster	RRE-containing	3023621	3046876	15	15	3185	212.33	100.0%	complete
contig_2	protocluster	NRPS-like	159806	202908	41	35	6014	146.68	85.4%	partly
contig_3	cand_cluster	NAPAA	2131888	2165848	27	27	30464	1128.3	100.0%	complete
contig_3	protocluster	butyrolactone	2706670	2717606	9	9	39537	4393.0	100.0%	complete
contig_3	region	CDPS	2484341	2505049	20	19	62153	3107.65	95.0%	partly
contig_2	protocluster	NRPS	411945	470217	37	32	4198	113.46	86.5%	partly
contig_2	region	NAPAA	5094169	5128384	30	29	88495	2949.83	96.7%	partly
contig_3	region	lanthipeptide-class-v	1610635	1691662	69	68	151575	2196.74	98.6%	partly
contig_2	protocluster	ectoine	2116351	2126762	11	11	214807	19527.91	100.0%	complete
contig_2	protocluster	T1PKS	379039	426437	38	33	5622	147.95	86.8%	partly
contig_3	protocluster	terpene	2614748	2637945	23	23	277761	12076.57	100.0%	complete
contig_1	region	T1PKS	0	76890	17	17	118059	6944.65	100.0%	complete
contig_3	cand_cluster	terpene	2614748	2637945	23	23	277761	12076.57	100.0%	complete
contig_2	cand_cluster	NAPAA	5094169	5128384	30	29	88495	2949.83	96.7%	partly
contig_3	protocluster	NI-siderophore	782357	815041	24	24	235164	9798.5	100.0%	complete
contig_3	protocluster	T3PKS	873849	914902	26	26	37273	1433.58	100.0%	complete
contig_2	region	RiPP-like	1107517	1117733	7	7	738	105.43	100.0%	complete
contig_3	protocluster	NRPS	1693838	1736523	37	37	44917	1213.97	100.0%	complete
contig_3	cand_cluster	butyrolactone	2157562	2168483	10	10	2152	215.2	100.0%	complete
contig_3	protocluster	deazapurine	1710000	1737379	19	19	41251	2171.11	100.0%	complete
contig_2	cand_cluster	NRPS-like	686380	728216	29	29	9984	344.28	100.0%	complete
contig_3	cand_cluster	NRPS	1693838	1737379	38	38	47526	1250.68	100.0%	complete
contig_2	protocluster	NI-siderophore	2020529	2050332	23	23	836431	36366.57	100.0%	complete
contig_3	protocluster	RiPP-like	1024053	1034893	11	11	2609	237.18	100.0%	complete
contig_3	cand_cluster	T3PKS	873849	914902	26	26	37273	1433.58	100.0%	complete
contig_2	protocluster	T1PKS	749397	795484	32	31	28452	889.12	96.9%	partly
contig_2	cand_cluster	T1PKS	942090	1051971	36	36	99445	2762.36	100.0%	complete
contig_3	protocluster	oligosaccharide	1662985	1689194	21	21	5737	273.19	100.0%	complete
contig_2	region	T2PKS	1150384	1222900	70	68	40828	583.26	97.1%	partly
contig_2	protocluster	NRPS-like	755480	797301	31	29	28434	917.23	93.5%	partly
contig_2	cand_cluster	NRPS	677506	725162	35	35	40562	1158.91	100.0%	complete
contig_2	protocluster	azole-containing-RiPP	4370008	4393356	26	26	45449	1748.04	100.0%	complete
contig_3	cand_cluster	pyrrolidine	2118065	2150285	25	25	35366	1414.64	100.0%	complete
contig_3	protocluster	NRPS	914348	975474	39	39	108479	2781.51	100.0%	complete
contig_2	protocluster	NRPS-like	686380	728216	29	29	9984	344.28	100.0%	complete
contig_2	protocluster	NAPAA	5094169	5128384	30	29	88495	2949.83	96.7%	partly
contig_3	protocluster	T2PKS	1619137	1691662	66	65	130903	1983.38	98.5%	partly
contig_2	region	ectoine	2116351	2126762	11	11	214807	19527.91	100.0%	complete
contig_3	cand_cluster	hydrogen-cyanide	3016917	3030032	11	10	1562	142.0	90.9%	partly
contig_3	cand_cluster	RRE-containing	3023621	3046876	15	15	3185	212.33	100.0%	complete
contig_3	cand_cluster	terpene	1847315	1873993	25	25	47567	1902.68	100.0%	complete
contig_3	region	terpene	1847315	1873993	25	25	47567	1902.68	100.0%	complete
contig_2	cand_cluster	T1PKS	379039	426437	38	33	5622	147.95	86.8%	partly
contig_2	region	T1PKS	379039	470217	62	53	9286	149.77	85.5%	partly
contig_3	protocluster	lanthipeptide-class-i	1377913	1403167	27	24	97130	3597.41	88.9%	partly
contig_3	protocluster	butyrolactone	2157562	2168483	10	10	2152	215.2	100.0%	complete
contig_2	cand_cluster	NRPS-like	159806	202908	41	35	6014	146.68	85.4%	partly
contig_3	cand_cluster	lanthipeptide-class-v	1610635	1691662	69	68	151575	2196.74	98.6%	partly
contig_2	region	T1PKS	942090	1051971	36	36	99445	2762.36	100.0%	complete
contig_2	region	azole-containing-RiPP	4370008	4393356	26	26	45449	1748.04	100.0%	complete
contig_3	region	butyrolactone	2423601	2434600	8	8	2578	322.25	100.0%	complete
contig_3	protocluster	NRPS	269591	346165	21	21	72534	3454.0	100.0%	complete
contig_3	cand_cluster	CDPS	2484341	2505049	20	19	62153	3107.65	95.0%	partly
contig_2	protocluster	terpene	671896	694775	21	20	36473	1736.81	95.2%	partly
contig_2	region	T1PKS	749397	797301	34	32	28465	837.21	94.1%	partly
contig_3	cand_cluster	T3PKS	873849	988740	75	75	182587	2434.49	100.0%	complete
contig_3	region	pyrrolidine	2118065	2168483	43	43	39321	914.44	100.0%	complete
contig_3	cand_cluster	pyrrolidine	2118065	2168483	43	43	39321	914.44	100.0%	complete
contig_3	cand_cluster	NRPS	1693838	1736523	37	37	44917	1213.97	100.0%	complete
contig_2	protocluster	terpene	4413876	4436174	18	18	32645	1813.61	100.0%	complete
contig_3	cand_cluster	PKS-like	947711	988740	28	28	55747	1990.96	100.0%	complete
contig_2	cand_cluster	terpene	4413876	4436174	18	18	32645	1813.61	100.0%	complete
contig_3	protocluster	transAT-PKS	242821	350888	46	46	1241975	26999.46	100.0%	complete
contig_3	cand_cluster	butyrolactone	2423601	2434600	8	8	2578	322.25	100.0%	complete
contig_3	protocluster	butyrolactone	913685	924711	8	8	76367	9545.88	100.0%	complete
contig_3	protocluster	butyrolactone	2423601	2434600	8	8	2578	322.25	100.0%	complete
contig_1	cand_cluster	T1PKS	0	76890	17	17	118059	6944.65	100.0%	complete
contig_3	region	NAPAA	2954115	2989372	33	30	25740	780.0	90.9%	partly
contig_2	region	terpene	671896	728216	43	42	41100	955.81	97.7%	partly
contig_3	region	atropopeptide	2852432	2873648	19	18	21195	1115.53	94.7%	partly
contig_2	cand_cluster	NRPS	411945	470217	37	32	4198	113.46	86.5%	partly
contig_3	region	T3PKS	873849	988740	75	75	182587	2434.49	100.0%	complete
contig_3	region	terpene	2614748	2664623	46	46	437311	9506.76	100.0%	complete
contig_2	protocluster	NRPS	677506	725162	35	35	40562	1158.91	100.0%	complete
contig_2	cand_cluster	RiPP-like	1107517	1117733	7	7	738	105.43	100.0%	complete
contig_3	protocluster	NRPS-like	261873	305506	4	4	12022	3005.5	100.0%	complete
contig_3	cand_cluster	oligosaccharide	1662985	1689194	21	21	5737	273.19	100.0%	complete
contig_2	protocluster	terpene-precursor	51009	72086	19	18	7351	386.89	94.7%	partly
contig_3	protocluster	lanthipeptide-class-v	1610635	1652758	33	32	100516	3045.94	97.0%	partly
contig_2	cand_cluster	lanthipeptide-class-i	231076	256509	26	22	11325	435.58	84.6%	partly
contig_3	region	butyrolactone	2706670	2717606	9	9	39537	4393.0	100.0%	complete
contig_3	cand_cluster	transAT-PKS	242821	350888	46	46	1241975	26999.46	100.0%	complete
contig_3	cand_cluster	NRPS-like	2621623	2664623	37	37	434951	11755.43	100.0%	complete
contig_3	cand_cluster	lanthipeptide-class-v	1610635	1652758	33	32	100516	3045.94	97.0%	partly
contig_3	cand_cluster	T2PKS	1619137	1691662	66	65	130903	1983.38	98.5%	partly
contig_2	cand_cluster	terpene	671896	694775	21	20	36473	1736.81	95.2%	partly
contig_2	region	NI-siderophore	2020529	2050332	23	23	836431	36366.57	100.0%	complete
contig_2	protocluster	T1PKS	942090	1051971	36	36	99445	2762.36	100.0%	complete
contig_2	region	terpene-precursor	51009	72086	19	18	7351	386.89	94.7%	partly
contig_2	region	lanthipeptide-class-i	231076	256509	26	22	11325	435.58	84.6%	partly
contig_3	region	transAT-PKS	242821	350888	46	46	1241975	26999.46	100.0%	complete
contig_3	cand_cluster	lanthipeptide-class-i	1377913	1403167	27	24	97130	3597.41	88.9%	partly
contig_3	region	RiPP-like	1024053	1034893	11	11	2609	237.18	100.0%	complete
contig_3	cand_cluster	NRPS	914348	975474	39	39	108479	2781.51	100.0%	complete
contig_3	cand_cluster	deazapurine	1710000	1737379	19	19	41251	2171.11	100.0%	complete
contig_3	cand_cluster	NAPAA	2954115	2989372	33	30	25740	780.0	90.9%	partly
contig_2	cand_cluster	ectoine	2116351	2126762	11	11	214807	19527.91	100.0%	complete
contig_3	region	NI-siderophore	782357	815041	24	24	235164	9798.5	100.0%	complete
contig_2	cand_cluster	terpene-precursor	51009	72086	19	18	7351	386.89	94.7%	partly
contig_2	cand_cluster	terpene	671896	728216	43	42	41100	955.81	97.7%	partly
contig_3	cand_cluster	butyrolactone	2706670	2717606	9	9	39537	4393.0	100.0%	complete
contig_3	cand_cluster	RiPP-like	1024053	1034893	11	11	2609	237.18	100.0%	complete
contig_3	protocluster	NRPS-like	2621623	2664623	37	37	434951	11755.43	100.0%	complete
contig_3	cand_cluster	atropopeptide	2852432	2873648	19	18	21195	1115.53	94.7%	partly
contig_2	cand_cluster	T2PKS	1150384	1222900	70	68	40828	583.26	97.1%	partly
contig_2	cand_cluster	T1PKS	749397	797301	34	32	28465	837.21	94.1%	partly
contig_2	cand_cluster	T1PKS	379039	470217	62	53	9286	149.77	85.5%	partly
contig_3	region	NRPS	1693838	1737379	38	38	47526	1250.68	100.0%	complete
contig_3	cand_cluster	hydrogen-cyanide	3016917	3046876	22	21	4055	184.32	95.5%	partly
contig_2	cand_cluster	azole-containing-RiPP	4370008	4393356	26	26	45449	1748.04	100.0%	complete
contig_3	protocluster	terpene	1847315	1873993	25	25	47567	1902.68	100.0%	complete
contig_3	protocluster	atropopeptide	2852432	2873648	19	18	21195	1115.53	94.7%	partly
contig_3	cand_cluster	terpene	2614748	2664623	46	46	437311	9506.76	100.0%	complete
contig_3	protocluster	NAPAA	2131888	2165848	27	27	30464	1128.3	100.0%	complete
contig_3	region	hydrogen-cyanide	3016917	3046876	22	21	4055	184.32	95.5%	partly
contig_3	protocluster	lanthipeptide-class-iii	2636705	2659324	18	18	158955	8830.83	100.0%	complete
contig_2	protocluster	T2PKS	1150384	1222900	70	68	40828	583.26	97.1%	partly
contig_2	protocluster	lanthipeptide-class-i	231076	256509	26	22	11325	435.58	84.6%	partly
contig_2	protocluster	RiPP-like	1107517	1117733	7	7	738	105.43	100.0%	complete
contig_3	region	lanthipeptide-class-i	1377913	1403167	27	24	97130	3597.41	88.9%	partly
