Region_,Cluster_type_,Cluster-Name_,Start_,End_,Genes_total_,Completeness_38 Pure Glycerol pH7,Completeness_66 Crude Glycerol pH7,Completeness_68 Crude Glycerol pH4,Genes_expressed_38 Pure Glycerol pH7,Genes_expressed_66 Crude Glycerol pH7,Genes_expressed_68 Crude Glycerol pH4,Reads_total_38 Pure Glycerol pH7,Reads_total_66 Crude Glycerol pH7,Reads_total_68 Crude Glycerol pH4
contig_1,cand_cluster,T1PKS,0,76890,17,100.0%,100.0%,100.0%,17,17,17,206765,118059,214390
contig_1,protocluster,T1PKS,0,76890,17,100.0%,100.0%,100.0%,17,17,17,206765,118059,214390
contig_1,region,T1PKS,0,76890,17,100.0%,100.0%,100.0%,17,17,17,206765,118059,214390
contig_2,cand_cluster,NI-siderophore,2020529,2050332,23,100.0%,100.0%,100.0%,23,23,23,831959,836431,33572
contig_2,cand_cluster,azole-containing-RiPP,4370008,4393356,26,100.0%,100.0%,100.0%,26,26,26,56359,45449,101355
contig_2,cand_cluster,ectoine,2116351,2126762,11,100.0%,100.0%,100.0%,11,11,11,507922,214807,415265
contig_2,protocluster,NI-siderophore,2020529,2050332,23,100.0%,100.0%,100.0%,23,23,23,831959,836431,33572
contig_2,protocluster,azole-containing-RiPP,4370008,4393356,26,100.0%,100.0%,100.0%,26,26,26,56359,45449,101355
contig_2,protocluster,ectoine,2116351,2126762,11,100.0%,100.0%,100.0%,11,11,11,507922,214807,415265
contig_2,region,NI-siderophore,2020529,2050332,23,100.0%,100.0%,100.0%,23,23,23,831959,836431,33572
contig_2,region,azole-containing-RiPP,4370008,4393356,26,100.0%,100.0%,100.0%,26,26,26,56359,45449,101355
contig_2,region,ectoine,2116351,2126762,11,100.0%,100.0%,100.0%,11,11,11,507922,214807,415265
contig_3,cand_cluster,NRPS,914348,975474,39,100.0%,100.0%,100.0%,39,39,39,220629,108479,150341
contig_3,cand_cluster,PKS-like,947711,988740,28,100.0%,100.0%,100.0%,28,28,28,96438,55747,115957
contig_3,cand_cluster,RiPP-like,1024053,1034893,11,100.0%,100.0%,100.0%,11,11,11,3455,2609,8682
contig_3,cand_cluster,T3PKS,873849,914902,26,100.0%,100.0%,100.0%,26,26,26,48163,37273,75831
contig_3,cand_cluster,T3PKS,873849,988740,75,100.0%,100.0%,100.0%,75,75,75,353312,182587,336244
contig_3,cand_cluster,butyrolactone,913685,924711,8,100.0%,100.0%,100.0%,8,8,8,131848,76367,136360
contig_3,cand_cluster,butyrolactone,2423601,2434600,8,100.0%,100.0%,100.0%,8,8,8,4469,2578,12825
contig_3,cand_cluster,butyrolactone,2706670,2717606,9,100.0%,100.0%,100.0%,9,9,9,50921,39537,11112
contig_3,cand_cluster,deazapurine,1710000,1737379,19,100.0%,100.0%,100.0%,19,19,19,71136,41251,68452
contig_3,cand_cluster,terpene,1847315,1873993,25,100.0%,100.0%,100.0%,25,25,25,55879,47567,186252
contig_3,cand_cluster,terpene,2614748,2637945,23,100.0%,100.0%,100.0%,23,23,23,422515,277761,25659
contig_3,cand_cluster,transAT-PKS,242821,350888,46,100.0%,100.0%,100.0%,46,46,46,2068590,1241975,738357
contig_3,protocluster,NRPS,269591,346165,21,100.0%,100.0%,100.0%,21,21,21,72783,72534,87583
contig_3,protocluster,NRPS,914348,975474,39,100.0%,100.0%,100.0%,39,39,39,220629,108479,150341
contig_3,protocluster,NRPS-like,261873,305506,4,100.0%,100.0%,100.0%,4,4,4,6049,12022,24534
contig_3,protocluster,PKS-like,947711,988740,28,100.0%,100.0%,100.0%,28,28,28,96438,55747,115957
contig_3,protocluster,RiPP-like,1024053,1034893,11,100.0%,100.0%,100.0%,11,11,11,3455,2609,8682
contig_3,protocluster,T3PKS,873849,914902,26,100.0%,100.0%,100.0%,26,26,26,48163,37273,75831
contig_3,protocluster,butyrolactone,913685,924711,8,100.0%,100.0%,100.0%,8,8,8,131848,76367,136360
contig_3,protocluster,butyrolactone,2423601,2434600,8,100.0%,100.0%,100.0%,8,8,8,4469,2578,12825
contig_3,protocluster,butyrolactone,2706670,2717606,9,100.0%,100.0%,100.0%,9,9,9,50921,39537,11112
contig_3,protocluster,deazapurine,1710000,1737379,19,100.0%,100.0%,100.0%,19,19,19,71136,41251,68452
contig_3,protocluster,terpene,1847315,1873993,25,100.0%,100.0%,100.0%,25,25,25,55879,47567,186252
contig_3,protocluster,terpene,2614748,2637945,23,100.0%,100.0%,100.0%,23,23,23,422515,277761,25659
contig_3,protocluster,transAT-PKS,242821,350888,46,100.0%,100.0%,100.0%,46,46,46,2068590,1241975,738357
contig_3,region,RiPP-like,1024053,1034893,11,100.0%,100.0%,100.0%,11,11,11,3455,2609,8682
contig_3,region,T3PKS,873849,988740,75,100.0%,100.0%,100.0%,75,75,75,353312,182587,336244
contig_3,region,butyrolactone,2423601,2434600,8,100.0%,100.0%,100.0%,8,8,8,4469,2578,12825
contig_3,region,butyrolactone,2706670,2717606,9,100.0%,100.0%,100.0%,9,9,9,50921,39537,11112
contig_3,region,terpene,1847315,1873993,25,100.0%,100.0%,100.0%,25,25,25,55879,47567,186252
contig_3,region,transAT-PKS,242821,350888,46,100.0%,100.0%,100.0%,46,46,46,2068590,1241975,738357
