GeneID	Product
OMCOBO_00001	hypothetical protein
OMCOBO_00002	NysDI
OMCOBO_00003	Aminotransferase
OMCOBO_00004	NysN
OMCOBO_00005	Ferredoxin
OMCOBO_00006	NysL
OMCOBO_00007	NysK
OMCOBO_00009	Beta-ketoacyl synthase
OMCOBO_00014	ACP S-malonyltransferase
OMCOBO_00017	Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
OMCOBO_00019	NysDI
OMCOBO_00020	Aminotransferase
OMCOBO_00021	NysN
OMCOBO_00022	Ferredoxin
OMCOBO_00023	NysL
OMCOBO_00024	NysK
OMCOBO_00026	ACP S-malonyltransferase
OMCOBO_00028	Tr-type G domain-containing protein
OMCOBO_00029	Lipoprotein
OMCOBO_00030	hypothetical protein
OMCOBO_00031	Succinate dehydrogenase
OMCOBO_00032	fumarate reductase/succinate dehydrogenase flavoprotein subunit
OMCOBO_00033	succinate dehydrogenase/fumarate reductase iron-sulfur subunit
OMCOBO_00034	IS630 family transposase
OMCOBO_00035	Multifunctional fusion protein
OMCOBO_00036	S-adenosyl-L-methionine-dependent methyltransferase
OMCOBO_00037	Amidohydrolase
OMCOBO_00038	MFS transporter
OMCOBO_00039	AsnC family transcriptional regulator
OMCOBO_00040	Cytochrome P450
OMCOBO_00041	AB hydrolase-1 domain-containing protein
OMCOBO_00042	MerR family transcriptional regulator
OMCOBO_00043	DUF3291 domain-containing protein
OMCOBO_00044	Cytosine deaminase
OMCOBO_00045	phosphoenolpyruvate--glycerone phosphotransferase
OMCOBO_00046	Glycerol operon regulatory protein
OMCOBO_00047	dihydroxyacetone kinase subunit DhaL
OMCOBO_00048	4-hydroxyphenylpyruvate dioxygenase
OMCOBO_00049	Alpha-hydroxy-acid oxidizing enzyme
OMCOBO_00050	Protein involved in biosynthesis of mitomycin antibiotics/polyketide fumonisin
OMCOBO_00051	GntR family transcriptional regulator
OMCOBO_00052	EamA domain-containing protein
OMCOBO_00053	Prephenate dehydrogenase
OMCOBO_00054	Isomerase
OMCOBO_00055	Acylphosphatase
OMCOBO_00056	Heme exporter protein D
OMCOBO_00057	Heme exporter protein D
OMCOBO_00058	Tyrosine recombinase xerC
OMCOBO_00059	Integrase
